result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,xG_predicted
lose,3.38,3.41,-4.67,-5.67,-4.33,-0.33,-10,75,20,-84,-0.425911231
draw,3.2,-0.72,5.95,6.94,5.64,5.34,-28,91,-21,134,0.709493778
draw,3.28,-1.41,1.99,3.7,2.28,0.35,-31,161,-8,24,0.136582994
draw,3.24,-2.82,1.34,3.39,-0.31,-0.88,5,-51,-4,27,0.152207833
win,2.99,1.63,-4.32,-5,-4.81,-6.44,2,1,3,-35,-0.170705518
win,3.3,3.4,-5.71,-3.94,-6.36,-6.6,5,-176,2,-84,-0.425911231
lose,3.46,0.03,1.18,1.22,0.58,-0.38,-5,79,4,-67,-0.337370473
win,3.75,-4.35,0.62,0,5.25,-0.38,-34,397,-32,212,1.115739607
lose,3.01,-0.1,-3.82,-3.83,-4.69,-5.82,11,-261,7,-44,-0.217580036
lose,3.69,7.7,-6.49,-4.56,-7.69,-8.21,7,-473,13,-270,-1.394651284
win,3.08,3.41,-6.49,-4.56,-7.69,-8.21,15,-412,9,-93,-0.472785749
lose,3.88,4.78,-6.49,-4.56,-7.69,-8.21,5,-28,10,-179,-0.920697817
draw,3.36,-2.76,0.85,0.9,-0.25,-0.05,-6,205,-7,52,0.28241483
draw,3.11,2.47,-1.99,-3.7,-2.28,-0.35,8,-98,23,-188,-0.967572336
lose,3.1,1.82,-0.65,-0.31,-2.59,-1.23,30,-158,13,-103,-0.524868548
lose,3.3,-3.39,0.13,-4.7,-0.03,0.77,-48,188,-23,131,0.693868938
lose,3.15,2,-6.52,-7.44,-7.18,-7.38,-10,55,8,-134,-0.686325223
lose,3.17,2.46,-5.81,-7.53,-6.97,-6.17,-2,49,-6,27,0.152207833
lose,3.59,4.06,-5.81,-7.53,-6.97,-6.17,26,-351,14,-128,-0.655075544
lose,3.6,-0.71,-1.14,-2.8,-2.53,-0.4,5,-73,15,-87,-0.44153607
draw,3.4,-2.65,4.61,3.55,5.95,6.22,-26,336,-21,163,0.860533894
lose,3.3,2.4,-3.33,-4.78,-2.05,-3.22,11,-166,6,-138,-0.707158343
lose,4.8,-10.4,6.13,5.64,7.53,7.21,-42,203,-31,215,1.131364446
draw,2.74,3.29,-6.5,-8.17,-5.5,-6.22,3,-84,12,-196,-1.009238574
lose,3.91,5.36,-7.05,-7.33,-6.05,-5.72,8,-313,20,-276,-1.425900963
lose,3.22,-1.11,0.78,0.11,0.06,-0.5,-15,98,14,-55,-0.274871115
lose,3.48,2.74,-5.16,-7.22,-4.38,-4.94,4,-68,13,-127,-0.649867264
