result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif
draw,4.04,-5.37,8.05,9.5,7.89,8.56,-5,113,-17,156
win,3.09,-0.94,0.75,-1.46,1.51,2.25,5,-165,-11,179
win,7.16,-9.66,11.11,11.72,11.45,12.44,-29,420,-33,359
win,3.12,-0.47,3.17,3.39,3.45,3,4,-142,-1,59
win,3.08,-2.1,5.16,4.78,5.81,7.1,-8,135,-8,169
lose,3.12,0.13,-0.55,0.84,-0.55,0.5,18,-425,5,-168
win,5.87,-10.58,14.78,15.28,12.56,14.22,-22,201,-62,414
lose,3.12,-1.74,6.34,6,6.39,6.72,-10,170,6,-44
win,4.61,-7.22,5.78,4.78,11.06,6.72,-17,192,-35,288
win,3.89,-4.95,11.68,10.18,11.86,12.22,-2,55,-14,239
draw,3.5,-5.56,11.78,11.38,12.36,12.92,-24,88,-44,394
draw,3.25,-3.75,6.34,8.4,6.75,5.28,-30,113,-13,215
win,5.57,-8.88,6.83,5.44,5.11,5.22,-24,526,-41,460
win,3.28,-1.07,1.3,-2.3,2.06,1.75,-1,67,-1,84
draw,3,-0.34,1.3,-2.3,2.06,1.75,12,-65,1,-2
win,3.9,-5.72,11.66,10.88,12,11.94,-15,316,-18,291
win,4.94,-10.1,10.83,9.44,10.11,7.22,-5,7,-44,344
win,3.03,0.28,1.39,-1.06,1.55,0.16,-3,97,-2,143
draw,5.61,-7.82,7.83,2.94,8.61,7.72,-22,467,-39,451
lose,2.88,-0.83,1.18,0.2,1.46,-0.43,4,-34,3,-43
lose,4.5,-5.99,6.89,5.16,6.94,6.22,-15,570,-13,151
win,3.53,-1.66,1.89,0.11,1.67,0.78,-3,146,-9,224
win,3.3,-2.44,1.89,0.11,1.67,0.78,6,-46,-4,82
lose,3.73,-4.1,6.16,3.77,5.78,6.89,-13,257,-23,324
lose,3.32,0.17,-0.78,-0.62,-1.33,-1.61,5,-454,3,-49
win,4.63,-6.18,8.07,4.97,8.35,7.04,-17,602,-8,87
win,3.46,-4,8.07,4.97,8.35,7.04,2,-24,-8,107
draw,3.14,-0.93,3.83,7.94,3.39,4.22,13,-34,6,-34
lose,4.23,6.09,-7.83,-2.94,-8.61,-7.72,28,-350,24,-325
lose,3.4,-0.55,1.61,5.5,0.83,1,10,-168,21,-130
win,3.25,-0.55,1.61,5.5,0.83,1,42,-159,9,-20
lose,4.09,5.61,-7.41,-9.62,-6.93,-4.35,5,-52,21,-242
win,3.57,2.01,-0.88,-2.48,-1.68,1.32,-5,143,8,-18
win,3.18,1.7,-2.38,-3.38,2.62,0.12,-9,74,-24,97
lose,3.47,4,-8.1,-9.2,-7,-6,22,-196,33,-217
lose,4.11,4.1,-3.38,-3.56,-0.94,-1.44,19,-160,52,-295
lose,4.47,5.52,-8.44,-6.88,-5.81,-8.94,34,-421,47,-240
lose,3.94,2.47,-7.45,-7,-5.58,-5.29,5,-89,36,-256
draw,3.1,-0.2,3,8,2,0,-42,135,-30,176
draw,3.5,2.97,-2.5,2.5,1.5,-3,-4,26,3,-6
draw,4.06,4.63,-6.94,-1.33,-8.44,-8.44,29,-561,11,-136
lose,6.79,18.31,-9.61,-2.06,-11.44,-10.83,26,-434,15,-188
win,3.7,-5.6,10.48,10.68,10.54,12.37,-36,131,-27,257
lose,4.03,-4.94,9.65,9.24,8.65,7.65,-24,377,-1,19
draw,2.79,-0.56,-0.63,-1.04,-0.91,-0.07,7,-27,1,-42
win,3.3,-5,6.65,2.74,7.15,8.15,-38,133,-31,265
draw,5.85,-14.42,17.45,15.77,20.05,17.98,-78,809,-57,261
draw,3.02,-1.71,8.65,7.16,8.8,9.73,-25,403,-7,48
win,3.38,-5.28,7.65,7.57,7.82,12.15,-28,112,-17,214
lose,3.46,-0.23,4.27,1.55,6.21,4.65,1,-12,3,-23
win,3.29,-0.01,0,2.6,-1.2,-2.2,-30,271,7,-38
draw,3.15,1.72,-5.94,-4.73,-5.64,-6.64,11,-311,27,-181
win,3.2,-0.9,-1.67,-1.07,-1.53,-0.53,-5,14,-4,11
lose,5.25,10.79,-6.67,-8.17,-4.22,-6.22,14,-125,39,-352
win,3.11,1.45,1.69,0.44,4.19,3.25,32,-185,-33,138
lose,3.71,1.37,-1.9,-4.2,-0.6,0.1,43,-559,24,-291
draw,3.3,3.39,-2.12,-3.5,0.25,1.38,-5,13,31,-168
draw,3.4,-0.68,0.88,-0.12,2.88,0.88,35,-414,-15,56
lose,3.1,0.14,0.22,-2.89,3.61,3.67,50,-611,4,-21
draw,2.95,0.62,-1,-4,1,-1,34,-277,8,-27
draw,3.5,-6.6,4.94,4.28,5.17,3,-56,199,-39,225
win,3.15,-1.57,2.63,2.72,3.36,2.25,-29,276,-38,248
lose,3.37,-1.28,1.18,-0.19,1.41,0.82,-2,32,5,-64
lose,1.91,0.02,-1.44,-3.41,0.73,-2,-3,38,1,-46
lose,2.99,-1.98,2,-2.5,-0.5,6.5,8,-49,18,-93
draw,3.22,0.44,-1.53,-3.27,-0.76,-0.59,6,-145,2,-20
draw,3,1.4,-1.53,-3.27,-0.76,-0.59,-1,18,-1,12
win,3.27,2.09,-1.67,-1.7,-0.93,-3.34,1,-280,-1,10
win,3.52,0.02,4.4,4.27,3.29,5.38,-6,101,-3,67
draw,4.16,-5.52,8,8.47,7.29,4.88,-22,363,-11,164
win,3.93,-5.49,4.22,6.36,3.23,3.38,-25,461,-30,373
win,3.1,-1.7,5,3.87,4.49,5.08,-39,164,-23,219
win,4.1,-6.97,5,6.47,3.29,2.88,-40,559,-16,318
win,3.35,-1.61,4.06,4.19,4.12,3.88,-12,214,-9,138
win,4.35,-7.75,8,13.47,5.29,0.88,-30,536,-46,448
lose,3.33,1.76,-3.61,-1.59,-4.15,-3.95,2,-339,1,-11
draw,3.91,5.92,-7.8,-1.53,-13.4,-14.33,49,-352,21,-85
lose,5.08,4.36,-5.03,-6.24,-9.55,-4.47,47,-697,29,-202
lose,4.09,7.56,-5.03,-6.24,-9.55,-4.47,34,-550,39,-372
win,3.65,2.36,3.5,1.5,-3.5,3,18,-198,6,-32
win,3.07,0.32,6.83,7,0.33,5.67,29,-308,-4,44
