result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_dif_predicted
draw,3.6,-2.83,6.03,5.63,6,6.6,-32,289,-30,146,1.174651799
draw,4.07,4.81,-7.08,-5.53,-8.24,-7.43,58,-697,26,-258,-0.999486941
lose,3.34,1.5,-7.08,-5.53,-8.24,-7.43,19,-488,8,-218,-0.300656632
win,3.28,-0.02,1.77,0.06,1.44,1.22,-1,-3,-21,123,0.825236645
lose,3.05,0.17,-0.85,-3.16,0.76,-1.6,43,-390,19,-170,-0.727719599
lose,3.06,-0.48,3.68,2.38,2.58,2.63,7,-79,11,-69,-0.41712835
win,3.59,3.44,0.8,1,1.4,3.6,32,-292,9,-37,-0.339480538
lose,6.71,14.89,-13.11,-11.06,-12.44,-10.83,28,-105,43,-285,-1.659493344
lose,3.75,5.6,-3.5,-2.67,-1.83,2.5,-7,34,35,-207,-1.348902096
lose,3.95,0.33,-3.53,-4.91,-2.1,-1.8,37,-181,21,-127,-0.805367411
lose,2.95,-0.06,-1.54,-1.21,0.18,-1.45,6,-20,13,-103,-0.494776162
lose,3.73,3.28,-0.9,-0.2,-1.6,1.1,10,-203,22,-203,-0.844191317
lose,4.58,5.96,-5,-4.5,-3.89,-7.89,34,-727,19,-328,-0.727719599
lose,3.22,-1.88,1.67,-0.83,2.83,0.83,-15,93,-1,1,0.048758523
lose,3.06,2.23,-3.33,-2.8,-2.96,-4.55,44,-178,27,-230,-1.038310847
lose,3.02,-0.14,0.73,3.79,1.52,-2.11,28,-434,8,-114,-0.300656632
draw,3.18,3.97,-9.44,-15.5,-6.56,-3.06,17,-246,21,-176,-0.805367411
win,3.82,5.24,-9.65,-14.24,-6.65,-3.65,29,-457,36,-176,-1.387726002
lose,3.21,1.73,-1,-7.08,2.15,6.08,4,-54,29,-128,-1.115958659
lose,4.17,6.34,-9.94,-12,-10,-11.5,22,-309,33,-230,-1.271254284
draw,3.18,1.53,-1.89,-2.5,-2.11,-2.94,17,-196,16,-74,-0.61124788
win,3.4,1.34,-12.35,-13.49,-12.27,-13.08,78,-726,41,-194,-1.581845532
draw,3.14,0.32,-6.01,-7.49,-5.88,-6.36,68,-556,47,-238,-1.814788969
lose,3.04,0.83,-7.45,-10.9,-5.15,-8.36,65,-518,48,-284,-1.853612875
lose,3.29,-0.45,-5.5,-5.1,-7.8,-7.2,28,-211,12,-41,-0.455952256
lose,3.55,2.81,-8.61,-7.99,-8.91,-9.92,43,-517,42,-266,-1.620669438
win,8.18,17.88,-12.33,-10.54,-12.91,-12.42,59,-1033,14,-160,-0.533600068
win,3,-0.11,-3.62,-3.22,-3.92,-6.32,39,-396,4,-9,-0.145361007
lose,3.81,3.93,-5.44,-5.38,-5.97,-6.2,44,-463,1,-9,-0.028889289
win,2.87,-1.46,9.5,4.9,5.2,14.8,-27,95,-51,230,1.989953827
lose,4.45,-3.95,8.01,5.86,7.44,9.33,-14,502,1,-9,-0.028889289
win,4.5,-7.58,8.48,8.26,9.97,8.56,-23,510,-32,281,1.252299612
lose,2.99,-0.84,1.33,-0.22,1.88,1.11,0,0,10,-178,-0.378304444
win,3.35,-2.75,1.33,-0.22,1.88,1.11,-14,649,-11,261,0.436997584
win,8.36,-21.46,16.11,15.06,14.44,15.33,-36,868,-41,439,1.601714766
draw,3.05,-0.62,1.96,0.82,2.79,1.18,1,-149,-3,95,0.126406335
draw,3.11,-1.64,1.96,0.82,2.79,1.18,-8,482,-7,239,0.28170196
win,3.11,-1.64,1.96,0.82,2.79,1.18,-8,482,-7,239,0.28170196
draw,3.43,-3.51,1.96,0.82,2.79,1.18,-8,482,-7,239,0.28170196
win,3.43,-3.51,1.96,0.82,2.79,1.18,-8,482,-7,239,0.28170196
draw,5.08,-8.89,7.61,4.56,11.94,4.33,-34,483,-33,281,1.291123518
lose,3.35,-3.23,3.61,1.59,4.15,3.95,-8,401,4,-76,-0.145361007
draw,5.46,-9.13,8.83,5.17,11.05,10.5,-13,86,-25,267,0.980532269
win,3.19,-2.18,2.67,0.73,3,2.39,-4,451,-7,219,0.28170196
win,6.16,-12.24,10.08,9.88,10.85,9.01,-21,700,-30,421,1.174651799
win,3.5,-3.52,7.08,5.53,8.24,7.43,-19,488,-8,218,0.320525866
win,7.17,-15.34,11.61,15.06,9.44,4.83,-27,167,-42,370,1.640538672
draw,5.06,-8.65,8.85,5.59,9.68,8.65,-14,87,-19,216,0.747588832
lose,5.16,-11.75,7.67,8.18,8.63,6.39,-17,703,-24,362,0.941708363
win,4,-8.2,13.61,13.56,14.44,11.83,-23,83,-37,240,1.446419142
win,4.15,-7.56,7.34,5.46,7.44,8.16,-18,437,-17,194,0.66994102
win,3,-2.53,9.61,8.39,10.61,13.33,-35,139,-8,78,0.320525866
lose,3.35,3.09,-4.35,-2.42,-4.35,-4.54,34,-723,13,-138,-0.494776162
lose,3.36,3.34,-6.68,-6.03,-6.8,-6.88,3,-47,10,-109,-0.378304444
draw,2.62,0.73,-6.68,-6.03,-6.8,-6.88,5,-26,7,-90,-0.261832726
lose,3.11,0.98,-6.68,-6.03,-6.8,-6.88,13,-282,3,-45,-0.106537101
win,3.69,3.46,-7.52,-5.81,-7.8,-7.54,3,-24,-3,18,0.126406335
win,3.1,-1.7,1.76,2.39,1.91,2.26,-16,59,-18,110,0.708764926
win,3.41,0.51,-0.02,-0.42,1.37,1.85,1,-1,-6,51,0.242878053
win,3.29,-2.91,2.76,9.47,-0.24,-3.82,-13,80,-23,154,0.902884457
win,3.05,-1.66,4.26,5.57,4.56,5.38,-42,431,-6,73,0.242878053
lose,3.55,4.36,-8.85,-5.59,-9.68,-8.65,20,-485,29,-341,-1.115958659
win,2.95,0.83,-1.18,2.59,-1.05,-2.26,10,-190,5,-71,-0.184184913
lose,3.23,-1.07,0.76,2.8,0.93,4.68,-4,37,-1,4,0.048758523
draw,3.68,-5.94,3.94,1.88,2.81,2.44,-18,359,-28,198,1.097003987
lose,3.05,0.25,0.81,0.08,1.34,2.17,38,-633,9,-55,-0.339480538
win,3.19,-0.75,5.06,3.32,4.87,7.5,-15,261,5,-55,-0.184184913
lose,3.51,2.59,-6.34,-8.4,-6.75,-5.28,-12,220,15,-174,-0.572423974
draw,4,-5.12,8.44,6.88,5.81,8.94,-19,165,-17,77,0.66994102
draw,2.87,0.16,1.16,-3.01,2.42,4.11,-22,281,-2,6,0.087582429
win,3.3,1.02,-5,-7.45,-5.63,-4,36,-584,3,-28,-0.106537101
win,2.83,-2.42,5.44,2.98,5.61,7.64,6,-25,-31,179,1.213475705
draw,3.88,4.21,-7.67,-8.18,-8.63,-6.39,10,-52,6,-103,-0.22300882
lose,3.21,-1.08,-0.33,-2.72,-1.19,1.77,28,-267,5,-37,-0.184184913
win,4.43,-3.31,-0.33,-2.72,-1.19,1.77,-16,106,-28,207,1.097003987
draw,3.02,-0.67,1.94,0.21,1.98,6.94,-5,26,-5,41,0.204054147
lose,6.91,13.29,-21.28,-16.28,-17.56,-27.72,51,-183,95,-624,-3.678336461
lose,3.6,5.06,-14.94,-7.88,-10.81,-22.44,21,-70,82,-409,-3.173625682
lose,4.26,7.25,-11.44,-14,-11.56,-10.06,12,-132,41,-310,-1.581845532
lose,3.33,2.16,-0.85,-0.9,0.25,0.05,3,-25,8,-101,-0.300656632
win,3.06,1.08,1.14,2.8,2.53,0.4,10,-366,4,-18,-0.145361007
lose,3.07,-0.01,3.42,2.45,3.38,1.9,14,-75,19,-109,-0.727719599
lose,2.23,0.59,0.06,-0.33,0.01,-4.74,1,-10,-12,88,0.47582149
lose,3.32,2.06,-7.44,-8.83,-7.73,-11.56,50,-605,27,-238,-1.038310847
lose,4.03,6.18,-7.44,-8.83,-7.73,-11.56,20,-149,19,-215,-0.727719599
lose,3.1,1.96,-8.28,-8.61,-8.73,-12.22,40,-347,21,-175,-0.805367411
win,3.63,-2.98,5,4.67,-0.17,3.5,-41,159,-29,187,1.135827893
lose,3.37,-4.35,4.88,7.26,4.77,-0.26,-1,17,-27,122,1.058180081
lose,3.2,2.54,-0.78,-3.22,0.44,-2.83,-5,73,7,-82,-0.261832726
win,3.2,-0.14,-0.76,-2.8,-0.93,-4.68,37,-323,24,-193,-0.921839129
win,3.58,-4.61,4,5.17,3.83,-1.5,12,-56,-29,162,1.135827893
win,3.55,-2.23,-2.61,-3,-4.33,-3.5,-12,179,-75,304,2.921727573
lose,3.07,6.45,-9.44,-8.44,-9.44,-8.72,12,-299,18,-321,-0.688895692
lose,3.06,-0.71,-1.61,-5.5,-0.83,-1,-20,140,-5,26,0.204054147
draw,4.09,2.67,-7.55,-8.33,-7.77,-7.94,9,-153,9,-97,-0.339480538
lose,4.31,-7.37,5.38,7.69,2.44,3,-25,389,-4,42,0.165230241
win,3.76,1.81,-4.06,-2.81,-6.12,-4.06,-7,91,2,-16,-0.067713195
lose,3.1,2.67,-4.9,-2.59,-7.12,-4.72,12,-259,9,-171,-0.339480538
draw,3.13,1.39,-4.9,-2.59,-7.12,-4.72,13,-208,-7,90,0.28170196
lose,3.64,2.03,-5.45,-1.75,-7.67,-4.22,14,-264,6,-175,-0.22300882
draw,3.27,-2.47,2.38,1.19,0.94,3.5,-14,86,-18,150,0.708764926
lose,3.52,3.85,-2.62,-0.78,-4.85,-1.88,17,-379,8,-213,-0.300656632
win,3,0.28,-3.56,-1.64,-6,-3.44,18,-434,3,-36,-0.106537101
win,6.75,-17.19,6.88,8.69,3.44,5,-42,402,-51,343,1.989953827
win,3.27,-2.85,6.88,8.79,5.24,8.2,-32,275,-20,151,0.786412739
win,3.37,3.05,-6.26,-4.74,-5.49,-5.95,16,-520,15,-146,-0.572423974
lose,3.14,2.61,-2.93,0.04,-3.44,-2.73,6,-52,10,-101,-0.378304444
win,2.97,-3.05,3.73,7.74,4.56,3.01,-13,149,-24,113,0.941708363
win,2.97,0.39,0.85,7.15,-1.38,-5.23,-9,114,-2,7,0.087582429
draw,3.2,2.7,-3.09,0.27,-2.19,-3.67,2,-31,9,-98,-0.339480538
