result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_dif_predicted
win,6.75,-16.41,12.11,11.89,9.11,10.72,-50,689,-62,467,2.417016794
win,3.34,-0.68,-1.83,-2.44,-2.33,-1.72,-4,118,-4,102,0.165230241
win,3.35,-3.15,5.58,6.71,5.52,4.9,-30,684,-8,105,0.320525866
win,3.34,-1.21,2.58,2.36,2.91,3.32,-11,228,-12,120,0.47582149
win,5.15,-10.45,9.11,10.39,9.11,7.72,-22,410,-45,385,1.757010391
win,3.39,-1.93,5.72,5.89,5.44,6.22,-3,79,-7,86,0.28170196
win,3.53,-0.98,-1,-4,2,0,-14,172,-9,38,0.359349772
win,5,-9.8,10.5,11.61,10.11,12.94,-47,229,-29,318,1.135827893
lose,3.43,-1.61,2.56,3.28,2.11,3.5,-3,158,-2,101,0.087582429
win,9.35,-19.68,8.36,8.61,8.41,9.47,-40,486,-48,398,1.873482109
draw,4.42,-4.64,6.07,5.97,4.22,8.72,-5,97,-4,79,0.165230241
win,3.92,-5.15,6.07,5.97,4.22,8.72,-13,613,-6,201,0.242878053
win,3.75,-2.93,4.77,3.97,3.62,6.32,6,-98,-2,23,0.087582429
win,6.69,-17.59,9.67,10.17,8.22,8.22,-24,652,-39,412,1.524066954
win,5.16,-9.94,4.55,4.67,4.47,7.6,-6,131,-14,217,0.553469302
win,3.5,-6.6,4.55,4.67,4.47,7.6,-19,138,-8,184,0.320525866
lose,3.25,-3.34,-0.61,-0.11,-1.34,0.5,-4,71,-1,19,0.048758523
lose,3.19,-0.18,-1.16,0.73,-1.89,1,8,-216,2,-92,-0.067713195
win,5.16,-8.99,6.67,3.67,6.72,8.72,-49,231,-33,326,1.291123518
win,3.44,-3.6,6.67,5.57,5.42,8.42,-14,703,-32,379,1.252299612
win,4.38,-6.08,5.73,5.89,5.05,7.22,-14,451,-21,349,0.825236645
draw,5.33,-8.01,5.73,5.89,5.05,7.22,-11,210,-10,150,0.398173678
lose,3.7,-1.09,1.67,1.7,0.93,3.34,1,-4,-1,12,0.048758523
win,9.09,-27.19,17.67,17.17,17.22,17.22,-84,1190,-77,569,2.999375385
draw,4.38,-6.81,5.73,8.29,5.41,5.78,-6,293,-11,214,0.436997584
lose,3.9,3.71,-3.81,-3.94,-3.94,-1.87,34,-355,34,-181,-1.31007819
lose,3.17,0.35,-2.47,-0.55,-4.25,-2.75,-17,87,19,-83,-0.727719599
lose,3.73,3.6,-6.69,-6.91,-7.48,-6.13,8,-374,49,-456,-1.892436781
win,4.44,-7.32,4.43,5.64,5.89,4.22,-43,434,-42,310,1.640538672
lose,4.15,5.43,-8.01,-5.86,-7.44,-9.33,14,-672,8,-222,-0.300656632
win,3.14,-1.44,-0.34,2.32,1.19,-2.94,-3,31,-16,140,0.631117114
draw,3.12,1.89,-4.54,-4.3,-3.96,-5.16,-2,31,-1,1,0.048758523
win,3.25,-3.23,2.78,4.08,3.48,0.78,-8,145,-39,347,1.524066954
win,3.5,-1.69,1.9,1.6,1.8,2.1,-13,288,-31,329,1.213475705
lose,3.33,-3.25,1.9,4.2,0.6,-0.1,-44,480,-30,230,1.174651799
win,3.33,-1.56,-0.48,-1.49,2.16,-1.1,-2,68,-6,111,0.242878053
draw,3.94,2.51,-9.44,-10.5,-8.56,-7.06,18,-298,6,-58,-0.22300882
draw,3.07,-0.32,-2.12,-2.12,-1.12,-1.12,19,-312,-29,194,1.135827893
lose,3.3,2.84,-2.78,-4.89,-0.39,1.67,-1,5,26,-147,-0.999486941
lose,3.38,3.41,-4.67,-5.67,-4.33,-0.33,-10,75,20,-84,-0.766543505
draw,3.2,-0.72,5.95,6.94,5.64,5.34,-28,91,-21,134,0.825236645
draw,3.28,-1.41,1.99,3.7,2.28,0.35,-31,161,-8,24,0.320525866
draw,3.24,-2.82,1.34,3.39,-0.31,-0.88,5,-51,-4,27,0.165230241
win,2.99,1.63,-4.32,-5,-4.81,-6.44,2,1,3,-35,-0.106537101
win,3.3,3.4,-5.71,-3.94,-6.36,-6.6,5,-176,2,-84,-0.067713195
lose,3.46,0.03,1.18,1.22,0.58,-0.38,-5,79,4,-67,-0.145361007
win,3.75,-4.35,0.62,0,5.25,-0.38,-34,397,-32,212,1.252299612
lose,3.01,-0.1,-3.82,-3.83,-4.69,-5.82,11,-261,7,-44,-0.261832726
lose,3.69,7.7,-6.49,-4.56,-7.69,-8.21,7,-473,13,-270,-0.494776162
win,3.08,3.41,-6.49,-4.56,-7.69,-8.21,15,-412,9,-93,-0.339480538
lose,3.88,4.78,-6.49,-4.56,-7.69,-8.21,5,-28,10,-179,-0.378304444
draw,3.36,-2.76,0.85,0.9,-0.25,-0.05,-6,205,-7,52,0.28170196
draw,3.11,2.47,-1.99,-3.7,-2.28,-0.35,8,-98,23,-188,-0.883015223
lose,3.1,1.82,-0.65,-0.31,-2.59,-1.23,30,-158,13,-103,-0.494776162
lose,3.3,-3.39,0.13,-4.7,-0.03,0.77,-48,188,-23,131,0.902884457
lose,3.15,2,-6.52,-7.44,-7.18,-7.38,-10,55,8,-134,-0.300656632
lose,3.17,2.46,-5.81,-7.53,-6.97,-6.17,-2,49,-6,27,0.242878053
lose,3.59,4.06,-5.81,-7.53,-6.97,-6.17,26,-351,14,-128,-0.533600068
lose,3.6,-0.71,-1.14,-2.8,-2.53,-0.4,5,-73,15,-87,-0.572423974
draw,3.4,-2.65,4.61,3.55,5.95,6.22,-26,336,-21,163,0.825236645
lose,3.3,2.4,-3.33,-4.78,-2.05,-3.22,11,-166,6,-138,-0.22300882
lose,4.8,-10.4,6.13,5.64,7.53,7.21,-42,203,-31,215,1.213475705
draw,2.74,3.29,-6.5,-8.17,-5.5,-6.22,3,-84,12,-196,-0.455952256
lose,3.91,5.36,-7.05,-7.33,-6.05,-5.72,8,-313,20,-276,-0.766543505
lose,3.22,-1.11,0.78,0.11,0.06,-0.5,-15,98,14,-55,-0.533600068
lose,3.48,2.74,-5.16,-7.22,-4.38,-4.94,4,-68,13,-127,-0.494776162
win,4.24,-3.7,-0.75,-2.42,0.86,0.1,-27,153,-22,176,0.864060551
win,3.1,-1.7,-1.12,-1.44,-2.06,-5.06,16,-53,-17,126,0.66994102
draw,4.12,3.8,-11.4,-11.72,-11.62,-12.78,3,-41,10,-119,-0.378304444
lose,4.1,6.72,-7.68,-9.69,-4.84,-8.6,10,-110,42,-306,-1.620669438
draw,5.52,-13.67,5.44,6.5,3.56,5.06,-17,292,-92,460,3.581733976
lose,2.84,-1.07,2.33,3.61,2.45,2.34,10,-278,4,-75,-0.145361007
win,4.1,-5.32,4.32,5,4.81,6.44,-7,53,-9,174,0.359349772
win,4.14,-6.39,6.31,8.7,7.09,6.79,-38,214,-17,198,0.66994102
win,3.48,-3.89,5.66,8.39,4.5,5.56,-8,56,-4,95,0.165230241
win,3.79,-5.56,10.56,11.94,10.62,12.12,-28,110,-26,201,1.019356175
win,3.34,-0.65,-1.39,1.06,-1.55,-0.16,-9,60,-3,69,0.126406335
lose,4.22,-7.67,11.77,12,10.39,11.73,-27,345,-18,163,0.708764926
lose,2.98,-0.67,-0.21,1.26,-0.09,-0.59,6,-79,-5,39,0.204054147
draw,2.9,0.09,-0.21,1.26,-0.09,-0.59,-4,91,-2,41,0.087582429
draw,2.94,-0.83,-0.21,1.26,-0.09,-0.59,-6,45,-1,1,0.048758523
win,6.33,-16.89,14.44,15.5,11.56,13.06,-40,411,-58,392,2.26172117
win,3.36,-4.33,8.44,8.42,8.71,9.14,-21,85,-25,200,0.980532269
draw,2.97,-1.59,0.5,1.17,0.12,0.62,-1,4,-3,65,0.126406335
draw,3.54,-3.8,4.91,5.97,5.36,5.66,-15,211,-30,238,1.174651799
draw,5.45,-9.81,7.85,9.91,6.91,8.24,-44,234,-30,301,1.174651799
win,5.5,-13.87,21.44,16.5,22.56,24.06,-41,149,-65,408,2.533488512
draw,4.04,-5.37,8.05,9.5,7.89,8.56,-5,113,-17,156,0.66994102
win,3.74,-4.43,8.59,8.35,7.94,8.29,-8,132,-19,169,0.747588832
lose,4.74,8.04,-9.46,-10.42,-9.58,-10.43,53,-369,37,-353,-1.426549908
win,5.96,-14.9,17.28,14.28,18.56,15.72,-13,122,-61,429,2.378192888
win,3.09,-0.94,0.75,-1.46,1.51,2.25,5,-165,-11,179,0.436997584
win,7.16,-9.66,11.11,11.72,11.45,12.44,-29,420,-33,359,1.291123518
win,3.12,-0.47,3.17,3.39,3.45,3,4,-142,-1,59,0.048758523
win,3.08,-2.1,5.16,4.78,5.81,7.1,-8,135,-8,169,0.320525866
draw,2.98,-0.79,0.84,-0.22,1,0.66,10,-258,6,-63,-0.22300882
lose,3.12,0.13,-0.55,0.84,-0.55,0.5,18,-425,5,-168,-0.184184913
