result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_balance_dif,goal_dif_predicted
lose,3.23,3.26,-10.939999999999998,-5.879999999999996,-11.810000000000002,-10.439999999999998,26.0,-304.0,49,-277,-0.3998897599216071,-1.8924367809518692
draw,3.65,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,18,-105,-0.4700024755711199,-0.6888956924789681
lose,3.12,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,59,-230,0.3391764705882353,-2.280675841749579
lose,3.75,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,48,-303,-0.15342163355408392,-1.8536128748720981
win,3.33,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999975,0.75,-8.0,153.0,-10,151,0.7654211983222814,0.39817367775461987
win,5.53,-8.95,8.530000000000001,7.739999999999995,6.049999999999998,7.469999999999999,-16.0,352.0,-33,340,0.7707224798633147,1.291123517589353
lose,3.27,-1.99,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,3,-10,0.0714718790152079,-0.10653710128240308
lose,3.22,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,1,-75,-0.2465828307288792,-0.02888928912286108
draw,5.27,-9.99,11.86,13.239999999999995,9.879999999999997,10.14,-18.0,389.0,-33,246,1.3133809520609772,1.291123517589353
win,8.65,-19.38,7.530000000000001,3.7399999999999953,8.049999999999997,7.469999999999999,-30.0,524.0,-42,378,-0.2342764427826669,1.640538672307292
win,3.69,-4.49,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-9.0,135.0,-6,146,0.02515824521605503,0.24287805343553592
win,4.08,-8.02,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-1.0,5.0,-14,162,0.026649816783596125,0.5534693020737039
win,4.38,-7.23,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,-45,339,0.36016405887562736,1.757010390546605
win,3.85,-6.05,11.03,12.839999999999991,10.849999999999996,10.670000000000002,-44.0,448.0,-25,251,-0.16139173901604842,0.980532268951185
win,4.17,-4.7200000000000015,5.5900000000000025,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,-19,258,1.1205644349939907,0.7475888324725589
win,3.15,-0.2999999999999998,-3.8299999999999983,-3.4399999999999977,-5.8900000000000015,-6.719999999999999,33.0,-104.0,-10,34,0.6545719973457199,0.39817367775461987
lose,6.55,12.0,-8.829999999999998,-9.909999999999997,-9.180000000000009,-9.599999999999994,49.0,-535.0,45,-377,0.1296164772727273,-1.7371411566327852
lose,3.51,0.4199999999999999,0.5700000000000074,-1.539999999999992,0.4099999999999966,-0.21999999999999886,27.0,-365.0,19,-120,1.0796974522292992,-0.7277195985587391
win,3.55,2.4,-5.5,-7.1099999999999985,-6.219999999999999,-5.049999999999997,2.0,-59.0,-5,33,0.3881678745996966,0.2040541473557649
lose,5.22,6.1800000000000015,-12.439999999999998,-11.5,-13.329999999999998,-13.549999999999995,57.0,-936.0,41,-301,-0.1411345108695652,-1.581845532313701
lose,3.27,2.6,-3.1800000000000064,-3.5,-2.9300000000000064,-0.3800000000000097,84.0,-763.0,30,-160,-0.1485493230174082,-1.15478256543622
lose,4.49,7.13,-8.89,-7.439999999999998,-9.290000000000006,-6.980000000000004,89.0,-939.0,32,-244,-0.4370724645174635,-1.2324303775957621
lose,3.65,-4.59,3.759999999999991,4.590000000000003,3.879999999999996,5.059999999999988,-10.0,146.0,7,-20,-0.06784260515603803,-0.26183272560148707
win,3.59,-3.69,4.939999999999999,5.0,-0.18000000000000682,8.239999999999995,-42.0,169.0,-17,99,0.6338142977607045,0.6699410203130169
